id|Nombre Comercial|Clasificación|Dirección|Referencia de Dirección |Teléfona Principal|Teléfono Secundario|Correo Electrónico|Dirección web|Horario de atención |estimacion de usuarios mensual|id_1
4328|MANAAU |RESTAURANTE|URB. CIUDAD CELESTE, CALLE ING. LEON FEBRES-CORDERO, EDIFICIO C.C. ALAIRE LOCAL 7, KM 9.5 AV. SAMBORONDON||967587619||daniela_real@hotmail.com||Lunes a sabado de 08:00 a22:00|138|11824
4329|MANABA DE PASCUALES EL |RESTAURANTE|PASCUALES, CALLE SEXTA S/N Y PRINCIPAL||||||Lunes a sabado de 08:00 a22:00|197|11825
4330|MANABA DE PORTETE EL |RESTAURANTE|JOSE MASCOTE 3307 Y PORTETE||2848073||||Lunes a sabado de 08:00 a22:00|232|11826
4331|MANABA EL|RESTAURANTE|CACIQUE ALVAREZ 501 Y MANABI||||||Lunes a sabado de 08:00 a22:00|131|11827
4332|MANABA EL|RESTAURANTE|HURTADO # 117 Y MACHALA||2512153||||Lunes a sabado de 08:00 a22:00|248|11828
4333|MANABA EL|HOSTAL|GARCIA MORENO Y EFRAIN ROBLES|||||| Lunes a domingo 24 horas|172|11829
4334|MANABA EL TRIBUNAL|RESTAURANTE|CDLA. LOS ALAMOS, MZ. B, SOLAR 8||2642960||||Lunes a sabado de 08:00 a22:00|101|11830
4335|MANABA PAISA|RESTAURANTE|VIA LIBERTAD SALINAS 1ERA ENTRADA A SANTA ROSA||2776046||||Lunes a sabado de 08:00 a22:00|121|11831
4336|MANABATOURS |OPERADOR TURÍSTICO|CALLE 13 DE OCTUBRE||95618767|| ||Lunes a viernes de 08:00 a 18:00|246|11832
4337|MANABI TRAVEL |OPERADOR TURÍSTICO|CALLE CORDOVA Y 18 DE OCTUBRE||2637482||gerencia@manabitravel.com.ec||Lunes a viernes de 08:00 a 18:00|250|11833
4338|MANABITA|RESTAURANTE|BARRIO SAN JACINTO KM. 2 VIA BALZAR||2957683||||Lunes a sabado de 08:00 a22:00|115|11834
4339|MANABITA DEL NORTE|RESTAURANTE|CALLEJON 11 N-E Y AV. NICASIO SAFADI 3 N-E (CDLA. ATARAZANA MZ. G-3 VILLA #12)||||||Lunes a sabado de 08:00 a22:00|235|11835
4340|MANAKIN|HOSTAL|CALLE 20 Y AV. 12||2620413||hostalmanalin@hotmail.com|| Lunes a domingo 24 horas|130|11836
4341|MANANTIAL |HOSTERÍA|VIA A PIÑAS SITIO LOS NARANJOS ||2937075||||Lunes a Domingo 24 horas|208|11837
4342|MANANTIAL DE LA COMIDA MANABITA EL |RESTAURANTE|SAUCES 7MZ 383 VILLA 1||||||Lunes a sabado de 08:00 a22:00|218|11838
4343|MANANTIAL EL|RESTAURANTE|VICTOR EMILIO ESTRADA 520 Y LAS MONJAS||2382983||||Lunes a sabado de 08:00 a22:00|231|11839
4344|MANATOURS |AGENCIA DE VIAJES INTERNACIONAL|MORALES E/P. GUAL Y 9 DE OCTUBRE||2631650||||Lunes a Viernes 08h30 a 17h30|189|11840
4345|MANCORA|HOSTAL|AV. FLAVIO REYES CALLE 30|||||| Lunes a domingo 24 horas|104|11841
4346|MANGLAR ALTO E|RESTAURANTE|SUCRE #435 AV. GARCIA MORENO ||99244815||karlasanchezv_26@hotmail.com||Lunes a sabado de 08:00 a22:00|204|11842
4347|MANGLARALTO|HOSTAL|A LADO DE LA JUNTA PARROQUIAL|||||| Lunes a domingo 24 horas|218|11843
4348|MANGLARES DE PUERTO JELI|RESTAURANTE||Diagonal Restaurante de Britanys|2161301|969726395|marloncabrera.1218@gmail.com||Lunes a sabado de 08:00 a22:00|199|11844
4349|MANGO'S|HOTEL|15 DE ABRIL S/N 29 DE JUNIO Y CRISTO DEL CONSU|FRENTE A LA PANADERIA KAREN|52930821|994842719|nexpaca@hotmail.com||Lunes a Domingo 24 horas|173|11845
4350|MANGOTOUR S.A|CENTRO DE RECREACIÓN TURÍSTICA|SAN JOSE TIERRA COLORADA S/N KM 6||||||lunes a sabado de 8:00 a 18:00 |141|11846
4351|MANGÚ|RESTAURANTE|VICTOR EMILIO ESTRADA 304 Y CEDROS||2387366||||Lunes a sabado de 08:00 a22:00|239|11847
4352|MANHATAN|HOTEL|MARCEL LANIADO E/ BUENAVISTA Y NAPOLEON MERA||2962478||||Lunes a Domingo 24 horas|112|11848
4353|MANHATTAN|HOSTAL|Marcel Laniado sn Napoleon Mera| Frente a Farmacia Sana Sana |995609178||hotelmanhattan2014@hotmail.com|| Lunes a domingo 24 horas|204|11849
4354|MANHATTAN PIZZA|FUENTE DE SODA|BOYACA 1407 Y LUQUE ||2510691||||Lunes a viernes  06:00 a 20:00|240|11850
4355|MANILA PARK CENTER|TERMAS Y BALNEARIOS|SECTOR LA CAROLINA CALLE PRINCIPAL S/N||||||Lunes a sabado de 06:00 a22:00|195|11851
4356|MANSION LA|SALA DE RECEPCIONES Y BANQUETES|AV. MANABÍ Y GRANDA CENTENO||52633692||deysimacias2171@hotmail.com||Lunes a sabado de 08:00 a22:00|170|11852
4357|MANTA AIRPORT HOTEL|HOTEL|AV MANTA ROCAFUERTE LOTE 56 PUERTO AEROPUERTO| FRENTE AL REDONDE EL AEROPUERTO DIAGONAL A GASOLINERA PRIMAX |960507355|52384045|mantaairporthotel@gmail.com||Lunes a Domingo 24 horas|181|11853
4358|MANTA EXPRESS|OPERADOR TURÍSTICO|AV. MALECON Y CALLE 19, CENTRO COMERCIAL PLAYA JOCAY||||manta_express@yahoo.es||Lunes a viernes de 08:00 a 18:00|109|11854
4359|MANTA MAR HOTEL|HOTEL|av 24  av 13 calle Ascario paz|"<p style=""margin-left:0cm  margin-right:0cm""><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">toma la Av del malecon hasta llegar al mall del pacifico de ahi toma la calle 23 hasta llegar a la calle flavio reyes vira a mano derecha hasta llegar a un semaforo donde esta el maicentro y el cementerio. de ahi vira a mano izquierda donde ingresa a la Av 24 donde queda el hotel&nbsp </span></span> "|999394798|988905847|Casaba57@hotmail.com|www.mantamarhotel.com|Lunes a Domingo 24 horas|126|11855
4360|MANTA TREK|AGENCIA DE VIAJES DUAL|SAN LORENZO FRENTE AL CEMENTERIO||52558027||mantatrek@gmail.com||Lunes a Viernes 08h30 a 17h30|113|11856
4361|MANTA TROPICAL|HOSTAL|CALLE M3 ENTRE AV. 24 # 2377||52628040||reservas@hotelmantatropical.com|www.mantatropical.com | Lunes a domingo 24 horas|198|11857
4362|MANTAHOST DELI|CAFETERÍA|AEREO PUERTO ELOY ALFARO||2677503||||Lunes a Viernes 08h30 a 17h00|198|11858
4363|MANTAHOST HOTEL|HOTEL|KM 1.5 VIA BARBASQUILLO 130214 BARBASQUILLO| DIAGONAL A PLAZA DEL SOL |52677503|967600540|contraloria@mantahosthotel.com|www.mantahosthotel.com|Lunes a Domingo 24 horas|207|11859
4364|MANTA-ONLINE|AGENCIA DE VIAJES INTERNACIONAL|31 A 211 AV. FLAVIO REYES|DIAGONAL A LA ESCUELA DE PESCA|52626032|997214402|camino_carlier@hotmail.com||Lunes a Viernes 08h30 a 17h30|127|11860
4365|MANTARAYA LODGE|HOSTERÍA|KM. 101 VIA SALANGO.||360622||manager@mantarrayalodge.com|www.advantagecuador.com|Lunes a Domingo 24 horas|107|11861
4366|MANTARRAYA CAFE|RESTAURANTE|VICTOR EMILIO ESTRADA 619 ENTRE LAS MONJAS Y FICUS||2381378||tomatosfood@gmail.com||Lunes a sabado de 08:00 a22:00|238|11862
4367|MANTATRAVELAGENCY S.A|AGENCIA DE VIAJES DUAL|KM 1 1/2 VIA A BARBASQUILLO 5 HOTEL POSEIDON|HOTEL POSEIDON|55002800|990833618|mantatravelagencysa@gmail.com|www.hola-aventura.com|Lunes a Viernes 08h30 a 17h30|236|11863
4368|MANTRAA THE MAGIC OF INDIAN SPICES|RESTAURANTE|C.C. LAS TERRAZAS, LOCAL 6A, AV. RIO ESMERALDAS S/N Y AV. CENTRAL||42837564||neetu.s.seth@gmail.com||Lunes a sabado de 08:00 a22:00|121|11864
4369|MANZOKU|RESTAURANTE|CDLA. MIRAFLORES, AV. MIRAFLORES 300 Y CALLE 3ERA, PISO 0||985107805||emozamabel_92@hotmail.com||Lunes a sabado de 08:00 a22:00|194|11865
4370|MAPLE CRESPERIA RESTAURANTE|RESTAURANTE|BARRIO EL MUECIELAGO C.23||2626307||||Lunes a sabado de 08:00 a22:00|210|11866
4371|MAR & GRILL|RESTAURANTE|AVENIDA ENRIQUEZ GALLOS FRENTE AL MUSEO DE BALLENAS||||||Lunes a sabado de 08:00 a22:00|145|11867
4372|MAR ADENTRO|RESTAURANTE|C.C.PASEO SHOPPING MACHALA||||anitalurodriguez77@gmail.com||Lunes a sabado de 08:00 a22:00|192|11868
4373|MAR ADENTRO MARISQUERIA |RESTAURANTE|ENRIQUE PONCE LUQUE S/N BY PASS||988740495||georger9@gmail.com||Lunes a sabado de 08:00 a22:00|138|11869
4374|MAR AZUL|HOTEL|22 S/N AV. FLAVIO REYES|A UNA CUADRA DE SUPERMAXI|52629455|980190659|contador@marazulhotel.com.ec|www.marazulhotel.com.ec|Lunes a Domingo 24 horas|135|11870
4375|MAR HAMBU|RESTAURANTE|B/EL MURCIELAGO, C.M-1 AV.24||||||Lunes a sabado de 08:00 a22:00|133|11871
4376|MAR SANDUCHON|FUENTE DE SODA|CALLE NUEVE DE OCTUBRE 825 E/ RUMICHACA Y GARCIA AVILES||2826608||||Lunes a viernes  06:00 a 20:00|100|11872
4377|MAR Y SABOR|RESTAURANTE|CDLA. LA ATARAZANA, MZ. P-5, SL. 28||2281844||||Lunes a sabado de 08:00 a22:00|165|11873
4378|MAR Y SOL|RESTAURANTE|AVDA. 2 CALLE 12 (JUNTO A DESPENSA DON ROSENDO||93210884||||Lunes a sabado de 08:00 a22:00|155|11874
4379|MAR Y SOL EN PUERTO NUEVO|CASA DE HUÉSPEDES|AVDA. 12 S/N CALLES 4-A Y 5|A UNA CUADRA DEL PARQUE DEL SECTOR - VILLA COLOR MOSTAZA|42780954|998063951|castudilloo@hotmail.com||24 horas|107|11875
4380|MAR Y TIERRA|HOSTAL|AV. FLAVIO REYES Y CALLE 29||5003509||hostalmarytierra@gmail.com|www.hostalmarytierra.amawell.com| Lunes a domingo 24 horas|230|11876
4381|MAR Y TIERRA R&M|RESTAURANTE|AVENIDA MALECON S/N CALLE 17| MALECON DE SALINAS JUNTO EDIFICIO TORRE MAR |992312461|992312461|marytierra_1982@hotmail.com||Lunes a sabado de 08:00 a22:00|204|11877
4382|MAR Y TIERRA SABOR EUROPEO|RESTAURANTE|CALLE 8 DE NOVIEMBRE Y GONZALEZ SUAREZ||2978006||marianfeijoo_76@hotmail.com||Lunes a sabado de 08:00 a22:00|145|11878
4383|MARABU-SERVICIOS DR BUFFET|RESTAURANTE|CDLA. URDENOR DOS, MZ 235, SOLAR 18, AV JUAN TANCA MARENGO||2881382||||Lunes a sabado de 08:00 a22:00|133|11879
4384|MARATEA|HOTEL|CALCETA S/N CALCETA|A 100 METROS DEL CLUB CHAFIC BITAR||985875762|rosibel-velasquez@hotmail.com||Lunes a Domingo 24 horas|155|11880
4385|MARAVILLAS DE LA NATURALEZA|FUENTE DE SODA|RUMICHACA 1241 Y CLEMENTE BALLEN||2512403||||Lunes a viernes  06:00 a 20:00|225|11881
4386|MARAZUL 2|RESTAURANTE|AV GENERAL ENRIQUEZ GALLOS A UNA CUADRA DEL HOTEL BARCELO||||||Lunes a sabado de 08:00 a22:00|192|11882
4387|MARBELLA|HOSTAL|RUMICHACA 2224 Y HUANCAVILCA||2416142|||| Lunes a domingo 24 horas|224|11883
4388|MARBELLA|RESTAURANTE|JAVIER SANTOS Y 30 DE NOVIEMBRE||2616342||||Lunes a sabado de 08:00 a22:00|177|11884
4389|MARC DRIVE|TRANSPORTE TERRESTRE|CDLA. SIMON BOLIVAR, SOLAR #25, MZ. 4||||||Lunes a domingo 24 horas|118|11885
4390|MARCA|HOSTAL|Primero de Mayo s/n Avda.  Hualtaco| Callejon primero de mayo y Avda. Hualtaco Detras de la Policia Nacional&nbsp  frente&nbsp  a la Escuela&nbsp  Helena Criollo |998419776|72996534|records07mark@gmail.com|| Lunes a domingo 24 horas|191|11886
4391|MARCA B L I|RESTAURANTE|Calle quito S/N Entre Guayaquil y portoviejo| Calle Quito entre Guayaquil y portoviejo a lado de la Capilla de la Cuidadela Velazco Ibarra |998533636|997074876|marcab.l.i@hotmail.com||Lunes a sabado de 08:00 a22:00|250|11887
4392|MARCA BLI DELICIAS DEL EDEN|BAR|calle Quito s/n entre Guayaquil y Portoviejo| a lado de la iglesia de la Cuidadela Velazco Ibarra |998533636|993766670|marcab.l.i.lc@gmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|132|11888
4393|MARCELIUS|HOTEL|JOSE FALCONI SOLAR JOSE ALAVEDRA TAMA|DETRAS DE LA GASOLINERA PRIMAX|46026422|992155978|elovato@hotelmarcelius.ec|www.hotelmarcelius.ec|Lunes a Domingo 24 horas|120|11889
4394|MARCELIUS|HOTEL|MIGUEL HILARIO ALCIVAR SOLAR 4 JOSE ALAVEDRA TAMA|DETRÁS DE LA GASOLINERA PRIMAX|46052244|992300974|elovato@hotelmarcelius.ec|www.hotelmarcelius.ec|Lunes a Domingo 24 horas|227|11890
4395|MARCELO'S TACO'S|FUENTE DE SODA|CALLE 18 S/N Y AV. GENERAL ENRIQUEZ GALLO||||||Lunes a viernes  06:00 a 20:00|161|11891
4396|MARCLUB|TERMAS Y BALNEARIOS|CDLA. PUNTA BLANCA S/N ENTRADA 5 VIA MANGLARALTO||2918294|||www.marclub.com|Lunes a sabado de 06:00 a22:00|190|11892
4397|MARCO POLO|RESTAURANTE|6 DE MARZO 946 Y 10 DE AGOS||2523140||||Lunes a sabado de 08:00 a22:00|132|11893
4398|MARCOS|RESTAURANTE|9 DE OCTUBRE 623 Y CALLE 19||||||Lunes a sabado de 08:00 a22:00|168|11894
4399|MARCO'S RESTAURANT|RESTAURANTE|AV. LOS DELFINES  S/N CALLE ARENA| DIAGONAL A COACMES |990236589||marcossatalin50@hotmail.com||Lunes a sabado de 08:00 a22:00|241|11895
4400|MARCOVIC|BAR|ALBORADA VII ETAPA EDIF. ALBOCENTRO 3 LC. 15 AV. RODOLFO BAQUERI||98076201||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|213|11896
4401|MARCUVER TRAVEL CIA. LIMITADA|AGENCIA DE VIAJES DUAL|TARQUI 01 BOLIVAR|FRENTE A LA COOPERATIVA LOJA|72960960|997679765|geovannamora@hotmail.es||Lunes a Viernes 08h30 a 17h30|231|11897
4402|MARCY TOUR|AGENCIA DE VIAJES DUAL|AV. AGUSTIN FREIRE LOCAL 501 C.C. GARZOCENTRO 2000|DETRAS DE SUPER EXITO|46041343|958832262|info@marcytour.ec|www.marcytour.ec|Lunes a Viernes 08h30 a 17h30|153|11898
4403|MARE S&M HOSTAL|HOSTAL|Los Gavilanes, Calle Principal S/N Vía a Colegio Talentos| Calle principal de los Gavilanes (Jesús de Nazareth), A 300 metros de la iglesia Sagrado Corazón |962596059||dorig_ma@hotmail.com|https://maresmhotel.000webhostapp.com| Lunes a domingo 24 horas|116|11899
4404|MAREA ALTA|BAR|CERRO STA ANA DIEGO NOBOA #410 ENTRE SEGUNDO Y TERCER CALLEJON||2565623||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|101|11900
4405|MAREA ALTA DE PLAYAS|CAFETERÍA|LOS ESTEROS, AV. JAIME ROLDOS AGUILERA S/N Y CALLE NUÑEZ, LOCAL 1||93935267||||Lunes a Viernes 08h30 a 17h00|152|11901
4406|MAREA ALTA DE PLAYAS|HOSTERÍA|BARRIO LOS ESTEROS, AV. JAIME ROLDOS AGUILERA, KM 0.5 VIA A DATA||42765504||||Lunes a Domingo 24 horas|129|11902
4407|MAREA BAJA|RESTAURANTE|XAVIER SANTOS ||80941971||||Lunes a sabado de 08:00 a22:00|175|11903
4408|MAREA BRAVA|RESTAURANTE|KENNEDY NORTE, AV. MIGUEL H. ALCIVAR, MZ 208, SOLAR 2||2285620||marisqueria@mareabrava.com||Lunes a sabado de 08:00 a22:00|117|11904
4409|MAREA DE LA PLATA|OPERADOR TURÍSTICO|BARRIO LAS MERCEDES - CALLE PRINCIPAL||990032975||mediurmar@gmail.com||Lunes a viernes de 08:00 a 18:00|141|11905
4410|MAREA LA |RESTAURANTE|CDLA. ALBORADA CUARTA ETAPA CALLE A S/N Y CALLE TERCERA C.C. ALBOCENTRO LOCAL #29||2234066||||Lunes a sabado de 08:00 a22:00|181|11906
4411|MAREA PIZZERIA BAR|RESTAURANTE|MONTAÑITA DIAGONAL AL HOSTAL EL TURISTA||||||Lunes a sabado de 08:00 a22:00|161|11907
4412|MARES DIVE CENTER|OPERADOR TURÍSTICO|GENERAL CORDOVA Y MALECON JULIO IZURIETA||2300013||maresdc@gmail.com|www.maresecuador.com|Lunes a viernes de 08:00 a 18:00|134|11908
4413|MARGARITA SU PARRILLADA|RESTAURANTE|SUCRE E/ JUNIN Y TARQUI||97435055||||Lunes a sabado de 08:00 a22:00|162|11909
4414|MARGOT CHAVEZ TURISMO|AGENCIA DE VIAJES INTERNACIONAL|GENERAL CORDOVA 803 JUNIN|FRENTE AL EDIFICIO TORRES DE LA MERCED|42560267|999576977|veronicautrerasmcht@hotmail.com||Lunes a Viernes 08h30 a 17h30|176|11910
4415|MARIA ALEXANDRA|RESTAURANTE|AV. HONORATO MARQUEZ E/ SUCRE Y ALONSO DE MERCADILLO||2973173||||Lunes a sabado de 08:00 a22:00|140|11911
4416|MARIA FERNANDA|HOSTAL|CALLE 23 Y AV. CIRCUNVALACION Y FLAVIO REYES||52613295||hostalmariafernanda@hotmail.com|| Lunes a domingo 24 horas|168|11912
4417|MARIA FERNANDA|RESTAURANTE|BOLIVAR Y ANGEL RAFAEL ALAVA||||||Lunes a sabado de 08:00 a22:00|248|11913
4418|MARIA ISABEL 2|RESTAURANTE|PORTETE 2610 Y LIZARDO GARCIA||2455015||||Lunes a sabado de 08:00 a22:00|232|11914
4419|MARIA ISABEL HOTEL BOUTIQUE|HOSTAL|CALLE 24 Y AV. M2 BARRIO EL MURCIELAGO||52625013||recepcion@hotelboutiquemariaisabel.com|www.hotelboutiquemariaisabel.com| Lunes a domingo 24 horas|209|11915
4420|MARIA JOSE|HOSTAL|FLAVIO REYES Y CALLE 29 #110 *B/ UMIÑA||52610644||roberto_espinola62@hotmail.com|www.hostalmariajose.com.ec| Lunes a domingo 24 horas|213|11916
4421|MARIA LUISA|RESTAURANTE|CALLE PRINCIPAL||||||Lunes a sabado de 08:00 a22:00|143|11917
4422|MARIANITA|BAR|SITIO  LA TRAVESIA / SANTA MARIANITA ||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|164|11918
4423|MARIBEL TOUR|AGENCIA DE VIAJES DUAL|FEBRES CORDERO Y ELOY ALFARO, C.C. MULTICOMERCIO, OFC. 104-105||2640253||||Lunes a Viernes 08h30 a 17h30|114|11919
4424|MARIMONTAÑA|RESTAURANTE|SUCRE Y ANGEL RAFAEL ALAVA FRENTE AL PARQUE||52640330||mavesa10@hotmail.com||Lunes a sabado de 08:00 a22:00|229|11920
4425|MARIN TRAVEL|AGENCIA DE VIAJES INTERNACIONAL|JUNIN 434 Y BAQUERIZO MORENO||2569156||marazar@porta.net||Lunes a Viernes 08h30 a 17h30|182|11921
4426|MARINA LA|RESTAURANTE|EDIF. MALECON DEL ESTERO SALADO, BLOQUE: PLAZA DE MARISCOS, LOCAL #1||2367154||||Lunes a sabado de 08:00 a22:00|156|11922
4427|MARINA REAL|HOSTAL|AV. FLAVIO REYES Y CALLE 33 *B/UMIÑA||52626044||marinarealhostal@systray.net|| Lunes a domingo 24 horas|209|11923
4428|MARINARA|FUENTE DE SODA|URB. TORNERO TRES, KM. 5 VIA PUNTILLA SAMBORONDON Y RIO DAULE, MZ. 1 SOLAR 1, EDIF. PLAZA NAVONA PISO 0 OF. 103||42097801||juancar.ayalag@gmail.com||Lunes a viernes  06:00 a 20:00|128|11924
4429|MARINERO|RESTAURANTE|CALLE MANABI, MALECON DE CRUCITA||992248515||alvita1964@gmail.com||Lunes a sabado de 08:00 a22:00|180|11925
4430|MARINERO EL|RESTAURANTE|MALECON ALBERTO F.SANTON Y ANTE||92142634||||Lunes a sabado de 08:00 a22:00|187|11926
4431|MARINERO EL |RESTAURANTE|LEONARDO AVILES S/N Y AV. EDUARDO ASPIAZU||||||Lunes a sabado de 08:00 a22:00|124|11927
4432|MARINO A BORDO EL |RESTAURANTE|SAMANES 2, MZ. 225, SL. 5-6, LC. 1. CENTRO THALIA VICTORIA||2217478||||Lunes a sabado de 08:00 a22:00|180|11928
4433|MARINO EL|RESTAURANTE|SAN PEDRO||||||Lunes a sabado de 08:00 a22:00|237|11929
4434|MARIO BROSS|RESTAURANTE|LORENZO DE GARAYCOA 945 Y VELEZ||2244476||||Lunes a sabado de 08:00 a22:00|250|11930
4435|MARIO DELICIOSO|RESTAURANTE|V. M. RENDON 503- 505 Y BAQUERIZO MORENO||90844777||||Lunes a sabado de 08:00 a22:00|197|11931
4436|MARIOS RECEPCIONES |SALA DE RECEPCIONES Y BANQUETES|SAN AGUSTIN CALLE OLIVA MIRANDA||52920052||muentescarlos@hotmail.com||Lunes a sabado de 08:00 a22:00|218|11932
4437|MARIOS´S PIZZERIA & STEAK HOUSE|RESTAURANTE|SAN LORENZO AV. PRINCIPAL JUNTO A PERRADA DE RAUL ||||||Lunes a sabado de 08:00 a22:00|128|11933
4438|MARISCAR|RESTAURANTE|ESMERALDAS 1014 Y HURTADO||2361120||||Lunes a sabado de 08:00 a22:00|217|11934
4439|MARISCO AZUL|RESTAURANTE|AVENIDA MALECON DE SALINAS Y CALLE 472||2772631|| ||Lunes a sabado de 08:00 a22:00|165|11935
4440|MARISCOS AZUL|RESTAURANTE|KM. 1.5 VÍA A SAMBORONDÓN, C.C. LA TORRE, LOCAL A-2||42831246||||Lunes a sabado de 08:00 a22:00|186|11936
4441|MARISCOS AZUL|RESTAURANTE|CDLA. URDESA, AV. LAS MONJAS 121 Y ACACIAS||2610644||||Lunes a sabado de 08:00 a22:00|100|11937
4442|MARISCOS EXPRESS|RESTAURANTE|OLMEDO S/N, C.C. MALECON 2000, OF. PORE 001||2329053||GLENDITASSRUIZ@HOTMAIL.COM||Lunes a sabado de 08:00 a22:00|115|11938
4443|MARISELA|RESTAURANTE|CALLE NOGUCHI #906 ENTRE FEBRES CORDERO Y CUENCA||||||Lunes a sabado de 08:00 a22:00|201|11939
4444|MARISQUERIA   EL  PRIMO|RESTAURANTE|LA  GARZOTA , MZ .67 , SOLAR  7||91747314||||Lunes a sabado de 08:00 a22:00|121|11940
4445|MARISQUERIA  COMO EN MANABI |RESTAURANTE|5 DE JUNIO Y FLORES||986381110||mendozazambrano@gmail.com||Lunes a sabado de 08:00 a22:00|200|11941
4446|MARISQUERIA DE LA ORELLANA LA|RESTAURANTE|AV. FRANCISCO DE ORELLANA Y ALBERTO BORGES, MZ. T-1, C.C. PLAZA ORELLANA LOCAL 6 PISO 0||42830440||veronicahidalgob@hotmail.com||Lunes a sabado de 08:00 a22:00|100|11942
4447|MARISQUERIA DEL MAR|RESTAURANTE|JOSÉ MEJÍA # 222 Y COLOMBIA||52754224||||Lunes a sabado de 08:00 a22:00|226|11943
4448|MARISQUERIA EL PIRATA AZUL|RESTAURANTE|CORONEL 1610 ENTRE PORTETE Y VENEZUELA||2333380||||Lunes a sabado de 08:00 a22:00|221|11944
4449|MARISQUERIA ELBITA|RESTAURANTE|LA GARZOTA MZ.42 SL.22||2279959||||Lunes a sabado de 08:00 a22:00|216|11945
4450|MARISQUERIA MIRANDIÑHA|RESTAURANTE|AV. MANABI Y RAMOS IDUARTE||2652025||||Lunes a sabado de 08:00 a22:00|127|11946
4451|MARISQUERIA PIQUEMOS MAS|RESTAURANTE|PORTETE 5813 ENTRE CALLE 33 AVA. Y CALLE 34 AVA.||93517027||||Lunes a sabado de 08:00 a22:00|108|11947
4452|MARISQUERÍA PORTOVEJENSE 2|RESTAURANTE|CDLA. ENTRERÍOS, MZ. Y1, SOLAR 22, EDIFICIO TOPACIO||2097615||||Lunes a sabado de 08:00 a22:00|199|11948
4453|MARISQUERIA QUEVEREDES|RESTAURANTE|JUNE GUZMÁN CORTES 804 DÉCIMA TERCERA|FRENTE A LA COOPERATIVA DE AHORRO Y CRÉDITO EDUCADORES QUEVEDO|52753743|0|aracelicadena1@hotmail.com||Lunes a sabado de 08:00 a22:00|178|11949
4454|MARISQUERIA QUEVEREDES|RESTAURANTE|JUNE GUZMAN CORTES 804 DECIMA TERCERA| FRENTE A COOPERATIVA DE AHORRO Y CREDITO EDUCADORES QUEVEDO |993050585|52753743|aracelicadena1@hotmail.com||Lunes a sabado de 08:00 a22:00|160|11950
4455|MARISQUERIA REALES TAMARINDO|RESTAURANTE|AV. LA INDEPENDENCIA, FRENTE A LA URNA DE SAN JOSE||||||Lunes a sabado de 08:00 a22:00|113|11951
4456|MARITZA|RESTAURANTE|AV. PLAZA ACOSTA Y 27 DE NOVIEMBRE||86659893||||Lunes a sabado de 08:00 a22:00|128|11952
4457|MARJORIE GUILLEN |RESTAURANTE|LA 29 AVA Y LA K ||||||Lunes a sabado de 08:00 a22:00|106|11953
4458|MARK LA DIFERENCIA|CAFETERÍA|CDLA. COSTA DE ORO CALLE 8 DIAGONAL AL CC. EL PASEO SHOPPING||9323020||rkamacho676@gmail.com||Lunes a Viernes 08h30 a 17h00|101|11954
4459|MARKET LUDAMAR|CAFETERÍA|AV. CIRCUVALANCION TRAMO 1 DIAGONAL A LA ENTRADA CIUDAD UNIVERSITARIA, GASOLINERA CABALLO DE TROYA||2622662||||Lunes a Viernes 08h30 a 17h00|169|11955
4460|MARKET PEDERNALES|FUENTE DE SODA|AV PRINCIPAL JUNTO AL TALLER DE MECANICA ERCOTIRE||2680353||espedernales@outlook.com||Lunes a viernes  06:00 a 20:00|227|11956
4461|MARLENE 2|RESTAURANTE|AV. PAQUISHA S/N Y GUAYAQUIL, LOCAL 3||42762564||||Lunes a sabado de 08:00 a22:00|173|11957
4462|MARLENE 3|RESTAURANTE|AV. PAQUISHA S/N Y GUAYAQUIL, FERIA DE LAS OSTRAS, LOCAL 6||2762564||||Lunes a sabado de 08:00 a22:00|175|11958
4463|MARLEY'S SUBS|RESTAURANTE|C.C. GARZOCENTRO 2000, LOCAL 1110, BLOQUE 11, CDLA. LA GARZOTA||984510539||jospinoc@col.com||Lunes a sabado de 08:00 a22:00|123|11959
4464|MARLIN|HOSTAL|MALECON Y CALLE PORTOVIEJO||2340174||osvimeme@hotmail.com|| Lunes a domingo 24 horas|206|11960
4465|MAROTURSA S.A.|OPERADOR TURÍSTICO|LOS RIOS #818 Y HURTADO LOCAL 1||2378738||info@manglarrojo.com|www.manglarrojo.com|Lunes a viernes de 08:00 a 18:00|156|11961
4466|MARQUIÑO|FUENTE DE SODA|URB. PUERTO AZUL, C.C. PIAZZA, LOCAL 3, MZ. 112||6015858||mameralt@gmail.com||Lunes a viernes  06:00 a 20:00|125|11962
4467|MARQUITOS|RESTAURANTE|MALECON Y VIA SAN ISIDRO||2674818||||Lunes a sabado de 08:00 a22:00|170|11963
4468|MARTHA EVA|RESTAURANTE|CALLE 17 Y GENERAL ENRIQUEZ GALLO||||||Lunes a sabado de 08:00 a22:00|163|11964
